gap_resolution_id,target_url,normalized_target_url,proposed_name,prior_gap_classification,final_gap_classification,classification_confidence,classification_reasons,link_occurrences,unique_source_pages,main_content_occurrences,main_content_ratio,max_relevance_score,average_relevance_score,enqueue_decisions,anchor_texts,source_page_roles,source_page_urls,direct_target_match,selective_crawl_required,identity_safeguard,calibration_id,calibrated_score,calibrated_decision,queue_priority,calibrated_classification,calibrated_confidence,score_reasons,triage_reasons
dst_gap_resolution_7b6b8f52b2f0f0dbeed2,https://dst.gov.in/national-missions,https://dst.gov.in/national-missions,National Missions,UNRESOLVED,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,417,416,0,0.000000,75.00,56.73,LOW_RELEVANCE;RELEVANT,National Missions,APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN,https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects,1,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_fded59b6352551affd8a,55,OFFLINE_CLOSE,,CATEGORY_OR_INDEX_PAGE,0.9600,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;MULTIPLE_SOURCE_PAGES:+5;PERMANENT_ENTITY_NAME_SIGNAL:+15,KNOWN_DST_CATEGORY_URL
dst_gap_resolution_dec3f2ec19adcbecacc3,https://dst.gov.in/international-cooperation-mega-science,https://dst.gov.in/international-cooperation-mega-science,International Cooperation & Mega Science,UNRESOLVED,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,417,416,0,0.000000,20.00,1.73,LOW_RELEVANCE,International Cooperation & Mega Science,APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN,https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects,1,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_d95dafceecd552df4173,48,OFFLINE_CLOSE,,CATEGORY_OR_INDEX_PAGE,0.9600,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5;PERMANENT_ENTITY_NAME_SIGNAL:+15,KNOWN_DST_CATEGORY_URL
dst_gap_resolution_8362d050b98a398e6e70,https://dst.gov.in/st-data-policy-and-training,https://dst.gov.in/st-data-policy-and-training,"S&T Data, Policy and Training",UNRESOLVED,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,417,416,0,0.000000,20.00,1.73,LOW_RELEVANCE,"S&T Data, Policy and Training",APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN,https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects,1,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b6211378773cac34b3b9,33,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_e90979938622e157e4e9,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,https://dst.gov.in/st-system-india/science-and-technology-policy-2013,"Science, Technology & Innovation Policy 2013",ACCESSIBILITY_OR_NAVIGATION_PAGE,UNRESOLVED,0.4500,DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN,833,416,0,0.000000,75.00,56.68,LOW_RELEVANCE;RELEVANT,"Policies/ Acts | Science, Technology & Innovation Policy 2013",APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN,https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects,1,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_a9be048961611af06ac0,55,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;MULTIPLE_SOURCE_PAGES:+5;PERMANENT_ENTITY_NAME_SIGNAL:+15,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_df0381ec6125fa430d7d,https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term,https://dst.gov.in/news/filling-01-post-estate-officer-department-science-technology-deputation-including-short-term,Filling up the 01 post of Estate Officer in the Department of Science & Tech...,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Filling up the 01 post of Estate Officer in the Department of Science & Tech...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_bfc062bd21e2a846d507,50,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_a2a59f0ffa10d271b191,https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department,https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department,OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_af5b7d20a780116304a3,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_3decb2ddf225699f05cb,https://dst.gov.in/news/filling-one-post-senior-adviser-dst-deputation-istc-basis-failing-which-direct-recruitment,https://dst.gov.in/news/filling-one-post-senior-adviser-dst-deputation-istc-basis-failing-which-direct-recruitment,Filling up the one post of Senior Adviser in DST on deputation (ISTC) basis fail...,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,Filling up the one post of Senior Adviser in DST on deputation (ISTC) basis fail...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_300128bcc8d156c35323,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_8751dffe2f03ba492e10,https://dst.gov.in/news/%2A,https://dst.gov.in/news/%2A,View All,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,View All,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_152108795eb843ba973d,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_83c0a08edefc2b14e86a,https://dst.gov.in/document/reports/quantum-safe-ecosystem-india,https://dst.gov.in/document/reports/quantum-safe-ecosystem-india,Quantum-Safe Ecosystem in India,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Quantum-Safe Ecosystem in India,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_96b3ce249228421a6f92,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_6e1ab09771ba41b218f8,https://dst.gov.in/document,https://dst.gov.in/document,Detailed Demands for Grants 2026-27,UNRESOLVED,UNRESOLVED,0.6800,RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Detailed Demands for Grants 2026-27,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_229d7494123f23dcdf13,35,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_becf364419632aaca1ef,https://dst.gov.in/reports/vision-document-ESTIC-2025,https://dst.gov.in/reports/vision-document-ESTIC-2025,Vision Document ESTIC 2025,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Vision Document ESTIC 2025,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_2881f9605151e931ebd9,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_dc4f06e9ccd29d5aaa8e,https://dst.gov.in/reports/coffee-table-book-ESTIC-2025,https://dst.gov.in/reports/coffee-table-book-ESTIC-2025,Coffee Table Book ESTIC 2025,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Coffee Table Book ESTIC 2025,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_c396bae4451ab90100a5,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_683b45fbf98ec2525cb8,https://dst.gov.in/document/reports/activity-guidebook-for-NCSC-2026-27,https://dst.gov.in/document/reports/activity-guidebook-for-NCSC-2026-27,Activity Guidebook for NCSC 2026-27,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Activity Guidebook for NCSC 2026-27,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_8d6293e6a5e1afa6cceb,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_6d1b13431316d9c4e106,https://dst.gov.in/document/reports/dst-ccus-roadmap-2025,https://dst.gov.in/document/reports/dst-ccus-roadmap-2025,DST-CCUS Roadmap 2025,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,DST-CCUS Roadmap 2025,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_0771a8b0e3ffec25ccbd,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_46f1e12772bbedeaa70c,https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025,https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025,Detailed Demands For Grants 2024-2025,UNRESOLVED,UNRESOLVED,0.6800,RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Detailed Demands For Grants 2024-2025,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_94ac822c8752c7cca44e,35,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_3d49647d3b921e3c1466,https://dst.gov.in/importantlinks/st-awards-information-retrieval-system-stairs,https://dst.gov.in/importantlinks/st-awards-information-retrieval-system-stairs,S&T Awards Information Retrieval System (STAIRS),UNRESOLVED,UNRESOLVED,0.5000,SCHEME_NAME_SIGNAL:award,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,S&T Awards Information Retrieval System (STAIRS),BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_5d00f9fdaef590be91bc,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_3775f3916466d33321e3,https://dst.gov.in/importantlinks/indian-origin-academicians-abroad,https://dst.gov.in/importantlinks/indian-origin-academicians-abroad,Indian Origin Academicians Abroad,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Indian Origin Academicians Abroad,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_4a37b753ce7172e7e9a2,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_609cfaa9ac3736445c4a,https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti,https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti,"India Science, Technology and Innovation Portal (ISTI)",UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,"India Science, Technology and Innovation Portal (ISTI)",BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_235779d6769dadde7ac9,50,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_04099f496c118c634c6d,https://dst.gov.in/importantlinks/e-journal-resources,https://dst.gov.in/importantlinks/e-journal-resources,E-Journal Resources,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,E-Journal Resources,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_eccc795aa0d91b7d777e,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_a81970bf5ce0a54ae46f,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,Electronic Project Management System (e-PMS),UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Electronic Project Management System (e-PMS),BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b482ea286b2b922be551,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
