gap_resolution_id,target_url,normalized_target_url,proposed_name,prior_gap_classification,final_gap_classification,classification_confidence,classification_reasons,link_occurrences,unique_source_pages,main_content_occurrences,main_content_ratio,max_relevance_score,average_relevance_score,enqueue_decisions,anchor_texts,source_page_roles,source_page_urls,direct_target_match,selective_crawl_required,identity_safeguard,calibration_id,calibrated_score,calibrated_decision,queue_priority,calibrated_classification,calibrated_confidence,score_reasons,triage_reasons
dst_gap_resolution_5923d0f2f780abe4e37d,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,Achievements of Ministry of Science & Technology And Earth Science...,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Achievements of Ministry of Science & Technology And Earth Science...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_f1eaeb725ed6e763836f,50,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_c6b3d40bc498ed2d1b45,https://dst.gov.in/importantlinks/rd-statistics-glance,https://dst.gov.in/importantlinks/rd-statistics-glance,R&D Statistics at a Glance,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,R&D Statistics at a Glance,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_d193e196f62fe060ba8b,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_293bbb3f79cf08c7730d,https://dst.gov.in/importantlinks/indian-science-congress,https://dst.gov.in/importantlinks/indian-science-congress,Indian Science Congress,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Indian Science Congress,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_f19b8f7f46ebddf6e0ee,35,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_3fe7d693a5ad6d0f9bd3,https://dst.gov.in/important_link,https://dst.gov.in/important_link,Read More,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Read More,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_ee151a4e15b2c45f351d,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_0a090818131aa0fb7029,https://dst.gov.in/pressrelease/india-maps-21st-century,https://dst.gov.in/pressrelease/india-maps-21st-century,India Maps the 21st Century,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,India Maps the 21st Century,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_cbefc137e6316454f7db,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_e5e71a99741a4f0d2cb5,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,TDB invites technology proposals for fighting COVID 19,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,TDB invites technology proposals for fighting COVID 19,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_55f0707b3a1c6af90dd7,50,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_848e964420d5a2cb22e4,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,NSM: a transformative approach in supercomputing,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,NSM: a transformative approach in supercomputing,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_5eec60f3ace78f810e09,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_837fe6b1e8bb31b5c161,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,ARCI develops technology to improve fuel efficiency of internal...,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,ARCI develops technology to improve fuel efficiency of internal...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_055579ae368297e7c4e6,50,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_6ea053f4877f2fc40063,https://dst.gov.in/pressrelease/barc-inspire-fellow-enhancing-sensitivity-magnetic-resonance-techniques,https://dst.gov.in/pressrelease/barc-inspire-fellow-enhancing-sensitivity-magnetic-resonance-techniques,BARC INSPIRE fellow enhancing sensitivity of magnetic resonance...,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,BARC INSPIRE fellow enhancing sensitivity of magnetic resonance...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_99188d42adb31471ea1e,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_2d66fa3d18af7bada26c,https://dst.gov.in/pressrelease/iit-bombay-inspire-fellow-explores-how-lipids-play-critical-roles-infectious-diseases,https://dst.gov.in/pressrelease/iit-bombay-inspire-fellow-explores-how-lipids-play-critical-roles-infectious-diseases,IIT Bombay INSPIRE fellow explores how lipids play critical roles in...,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,IIT Bombay INSPIRE fellow explores how lipids play critical roles in...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_4e70893e2e0e4c5ba979,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_2b3fb4af9aa51b5c25f2,https://dst.gov.in/pressrelease/vegetation-pollen-records-show-climate-fluctuations-due-solar-irradiation-himalayas,https://dst.gov.in/pressrelease/vegetation-pollen-records-show-climate-fluctuations-due-solar-irradiation-himalayas,Vegetation & pollen records show climate fluctuations due to...,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Vegetation & pollen records show climate fluctuations due to...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_1308701d9ccad7643f4d,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_70511c8d3f5e5101ffdb,https://dst.gov.in/pressrelease/flight-plant-microbes-rural-womens-benefits,https://dst.gov.in/pressrelease/flight-plant-microbes-rural-womens-benefits,The flight from plant microbes to rural womens benefits,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,The flight from plant microbes to rural womens benefits,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_a8fd48bd5525dbf44b46,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_8ecc4264d4d0f55080bb,https://dst.gov.in/whatsnew/press-release,https://dst.gov.in/whatsnew/press-release,Open Press Release,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,Open Press Release,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_3208b41e856307b3155a,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_e841e483b289185d6f8f,https://dst.gov.in/autonomous-st-attached-institutions,https://dst.gov.in/autonomous-st-attached-institutions,Autonomous S&T Institutions,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Autonomous S&T Institutions,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_24dd61c2a99d93fe40c2,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_595956c3d50a4975178a,https://dst.gov.in/attached-institutions,https://dst.gov.in/attached-institutions,Attached Institutions,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Attached Institutions,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_44938d9e1a0837659072,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_87dd833b1a3b0065927b,https://dst.gov.in/professional-bodies,https://dst.gov.in/professional-bodies,Professional Bodies,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Professional Bodies,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_476c4860eb6e3c1a76df,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_8a379d3155a7f16e453c,https://dst.gov.in/statutory-board-0,https://dst.gov.in/statutory-board-0,Statutory Bodies,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Statutory Bodies,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_18f3fcc1c1f02e1fb658,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_d09b5cb4a3d26d7b4681,https://dst.gov.in/international-bi-lateral-institutions,https://dst.gov.in/international-bi-lateral-institutions,International Bi-lateral Institutions,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,International Bi-lateral Institutions,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_017507b3c26e326a5b6e,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_43caec1c8750e7caee28,https://dst.gov.in/anusandhan-national-research-foundation-anrf,https://dst.gov.in/anusandhan-national-research-foundation-anrf,Anusandhan National Research Foundation (ANRF),UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Anusandhan National Research Foundation (ANRF),BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_05938a60f38527c26cf8,50,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,INSTITUTION_OR_STATUTORY_BODY_PATTERN
dst_gap_resolution_db4cadccf9e23cd9c3ff,https://dst.gov.in/pension-grievance-redressal,https://dst.gov.in/pension-grievance-redressal,Pension Grievance Redressal,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,Pension Grievance Redressal,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_f8f0f6a65276b7fc3feb,20,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_4e6c01d5127649d7cc6f,https://dst.gov.in/public-grievance,https://dst.gov.in/public-grievance,Public Grievances,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Public Grievances,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b7213496e64eef50fd4a,20,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_5789643b49c39f5cb1e8,https://dst.gov.in/parliament-qa-0,https://dst.gov.in/parliament-qa-0,Parliament Q & A,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,Parliament Q & A,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b60be67cab3b8281cbc5,20,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_47fcb75a714a2ab780af,https://dst.gov.in/parliament-matters,https://dst.gov.in/parliament-matters,Parliament Matters,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,Parliament Matters,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_3395d86b529ff1f91cff,20,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_7eac06e3285c6770b9b4,https://dst.gov.in/right-information,https://dst.gov.in/right-information,Right To Information,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Right To Information,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_56355a21b72b380acd7f,20,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_cc486b27dce1fe668ed1,https://dst.gov.in/photo-gallery,https://dst.gov.in/photo-gallery,View All,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,View All,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_7b2c3edeb3c67358a2df,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_e548c1a4d7bcdb507397,"https://dst.gov.in/sites/default/files/Nomination%20Proforma%20%28New%29.pdf""","https://dst.gov.in/sites/default/files/Nomination%20Proforma%20%28New%29.pdf""",Nomination Proforma (New),UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Nomination Proforma (New),PROGRAMME_CATEGORY_INDEX,https://dst.gov.in/science-and-technology-training-cell,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_8ff5656e011d73d0a7d3,0,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_7128a088d0b6cd5f1aea,https://dst.gov.in/seed-home,https://dst.gov.in/seed-home,SEED,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,13,7,0,0.000000,20.00,13.85,LOW_RELEVANCE,SEED | Science For Equity Empowerment and Development (SEED) | Seed Home,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects;https://dst.gov.in/science-society-programmes,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_784de4295864cab8abf7,58,OFFLINE_CLOSE,,CATEGORY_OR_INDEX_PAGE,0.9600,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5;PERMANENT_ENTITY_NAME_SIGNAL:+15;NAMED_ACRONYM_SIGNAL:+10,KNOWN_DST_CATEGORY_URL
dst_gap_resolution_45a6a999d4b3ceda9f8b,https://dst.gov.in/objectives-mandate,https://dst.gov.in/objectives-mandate,Objectives,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,6,6,0,0.000000,20.00,13.33,LOW_RELEVANCE,Objectives,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_90503c00fb6260ae13c0,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_d744bd1399abbca6fbaf,https://dst.gov.in/brief-history,https://dst.gov.in/brief-history,Brief-history,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,6,6,0,0.000000,20.00,13.33,LOW_RELEVANCE,Brief-history,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_93de237df677381389dc,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_1ef376c1e9d37b54f2ad,https://dst.gov.in/stakeholders-target-groups,https://dst.gov.in/stakeholders-target-groups,Stakeholders-target-groups,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,6,6,0,0.000000,20.00,13.33,LOW_RELEVANCE,Stakeholders-target-groups,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_85abee2ab6c752dbde0d,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_8880c13a162666a04545,https://dst.gov.in/monitoring-and-evaluation,https://dst.gov.in/monitoring-and-evaluation,Monitoring & Evaluation,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,6,6,0,0.000000,20.00,13.33,LOW_RELEVANCE,Monitoring & Evaluation,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_398283e70ef338a718bf,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_f5ba87f5b60af220cc64,https://dst.gov.in/highlights-achievements,https://dst.gov.in/highlights-achievements,Highlights & Achievements,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,6,6,0,0.000000,20.00,13.33,LOW_RELEVANCE,Highlights & Achievements,APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE,https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b3956c13774fa68f002c,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_5c2c605667c9be478543,https://dst.gov.in/about-ngcma,https://dst.gov.in/about-ngcma,About NGCMA,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,2,2,0,0.000000,20.00,10.00,LOW_RELEVANCE,About NGCMA,GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX,https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_7500529db18f50bdeaad,33,OFFLINE_CLOSE,,SUPPORTING_INFORMATION,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,KNOWN_SUPPORTING_INFORMATION
dst_gap_resolution_82e1b2b944435fc00379,https://dst.gov.in/oecd-principles-glp,https://dst.gov.in/oecd-principles-glp,OECD Principles of GLP,UNRESOLVED,UNRESOLVED,0.4700,SCHEME_PROGRAMME_CATEGORY_SOURCE,2,2,0,0.000000,20.00,10.00,LOW_RELEVANCE,OECD Principles of GLP,GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX,https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_3d426aa140f0d2fe7011,33,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_a43296e994353a37a757,https://dst.gov.in/glp-certified-test-facilities,https://dst.gov.in/glp-certified-test-facilities,GLP Certified Test Facilities,UNRESOLVED,UNRESOLVED,0.6200,SCHEME_PROGRAMME_CATEGORY_SOURCE;PROGRAMME_NAME_SIGNAL:facilities,2,2,0,0.000000,20.00,10.00,LOW_RELEVANCE,GLP Certified Test Facilities,GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX,https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_92acc2f3afbd698411c1,33,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9500,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8;MULTIPLE_SOURCE_PAGES:+5,INSTITUTION_OR_STATUTORY_BODY_PATTERN
