master_id,department_code,ministry,department,entity_type,canonical_name,official_abbreviation,canonical_name_normalized,official_source_url,source_page_id,source_page_role,upstream_provisional_entity_id,upstream_identity_confidence,upstream_quality_confidence,canonical_identity_status,identity_locked,identity_lock_version,identity_locked_at,publication_decision,public_status,review_flags,source_version,identity_evidence_count
dst_programme_469dfdc28c70442ab5c3,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,"Research, Development, and Innovation (RDI) Cell",,researchdevelopmentandinnovationcell,https://dst.gov.in/rdi-scheme/research-development-and-innovation-rdi-cell,,,dst_provisional_programme_f4566621d18103f851d4,0.5740,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,9
dst_programme_559681b7042d5d872a20,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Institutional Capacity Building Programmes,,institutionalcapacitybuildingprogrammes,https://dst.gov.in/institutional-capacity-building-programmes,,,dst_provisional_programme_926695ed741ca40b92a3,0.7577,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,9
dst_programme_3452c16f1f4078134051,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,State Science & Technology Programme,,statescienceandtechnologyprogramme,https://dst.gov.in/state-science-technology-programme-0,,,dst_provisional_programme_27d0a619a0aefe1ab6e1,0.6540,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,2
dst_programme_b690fc69ae2a2d823756,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Mission on Interdisciplinary Cyber Physical Systems,NM-ICPS,nationalmissiononinterdisciplinarycyberphysicalsystems,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,,,dst_provisional_programme_757f88f60b8efa8b8414,0.4313,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,2
dst_programme_434e320048081d2c91d8,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Quantum Mission,NQM,nationalquantummission,https://dst.gov.in/national-quantum-mission-nqm,,,dst_provisional_programme_b18094ae0e1853419e1e,0.4563,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,2
dst_programme_845b166f05bf768bcc69,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Supercomputing Mission,NSM,nationalsupercomputingmission,https://dst.gov.in/national-supercomputing-mission-1,,,dst_provisional_programme_39351dda05a42fea7a0a,0.4313,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_eb414b730cb00d5d1dd9,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Climate Change Programme,,climatechangeprogramme,https://dst.gov.in/climate-change-programme,,,dst_provisional_programme_bb44212fb133345884e8,0.7100,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,5
dst_programme_85050962e6ea9b9c52be,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Council for Science & Technology Communication NCSTC,,nationalcouncilforscienceandtechnologycommunicationncstc,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-council-science-technology-communication-ncstc,,,dst_provisional_programme_6af5f3423a81e65452dd,0.7200,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,9
dst_programme_fd5ddc89e4e40e2853e2,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Science & Technology Entrepreneurship Development Board,NSTEDB,nationalscienceandtechnologyentrepreneurshipdevelopmentboard,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,,,dst_provisional_programme_1cd751938dcbec59ba62,0.4010,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,2
dst_programme_352ef289294a6dec8c89,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Technology Mission Programme on Water and Clean Energy,,technologymissionprogrammeonwaterandcleanenergy,https://dst.gov.in/technology-mission-programme-water-and-clean-energy,,,dst_provisional_programme_835e25ff9d2274f39c92,0.7550,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,1
dst_programme_1956ba3cf06f4b89512d,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Technology Development and Transfer,,technologydevelopmentandtransfer,https://dst.gov.in/technology-development-and-transfer,,,dst_provisional_programme_a5dad6324fc5938214dc,0.5270,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_fb332e7ab29f31178d4f,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Science and Heritage Research Initiative (SHRI) Cell,,scienceandheritageresearchinitiativecell,https://dst.gov.in/science-and-heritage-research-initiative-shri-cell,,,dst_provisional_programme_949c456fc2168a4e5db0,0.6172,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,1
dst_programme_8f106c6fdd32822c9c7e,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Geospatial Programme (erstwhile NRDMS),,nationalgeospatialprogramme,https://dst.gov.in/national-geospatial-programme-erstwhile-nrdms,,,dst_provisional_programme_db90b2cfe99e88b0ee4c,0.6290,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,1
dst_programme_84b6b59a2ba5338c5e92,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Promotion of University Research and Scientific Excellence,PURSE,promotionofuniversityresearchandscientificexcellence,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,,,dst_provisional_programme_c7681b03264f485ab9a9,0.6100,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_b2115f0d42d44315493a,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Sophisticated Analytical Instrument Facilities,SAIF,sophisticatedanalyticalinstrumentfacilities,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,,,dst_provisional_programme_ec419cff16ecb3cd65e7,0.4940,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_9c8f082864566558e4ff,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,STUTI,synergistictrainingprogramutilizingscientificandtechnologicalinfrastructure,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,,,dst_provisional_programme_2cb7fbf01a6e1098d011,0.6820,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,1
dst_programme_6108a336121d3ad5c780,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Support for Up-gradation Preventive Repair & Maintenance of Equipment,SUPREME,supportforupgradationpreventiverepairandmaintenanceofequipment,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,,,dst_provisional_programme_ffc17b125133e17c7e1a,0.6400,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_3d2b842cedbcdf64ff77,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Women in Science and Engineering-KIRAN,WISE-KIRAN,womeninscienceandengineeringkiran,https://dst.gov.in/scientific-programmes/wise-kiran,,,dst_provisional_programme_d0be2609d7edece61837,0.7160,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_93151f7f4280bc288577,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Science & Technology Management Information System,,nationalscienceandtechnologymanagementinformationsystem,https://dst.gov.in/scientific-programmes/scientific-engineering-research/national-science-technology-management-information-system-nstmis,,,dst_provisional_programme_7d0564f8246d029b3cbd,0.4940,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_3972ee5052b4782c8810,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Policy Research Cell,PRC,policyresearchcell,https://dst.gov.in/policy-research-cell,,,dst_provisional_programme_629f69d1c1a7a7ea1ad8,0.5020,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
