bundle_id,lane,priority,risk_score,bundle_title,recommended_action,rationale,child_record_count,source_evidence_weight,families,entity_types,allow_batch_all,reversible,requires_individual_child_selection,publication_eligible,apply_action_allowed,database_action,publication_action
meitybundle_b5519f29bb40e18c8938,BATCH_CONFIRMATION,MEDIUM,14,Programme family — CREST Semiconductor Accelerator,CONFIRM_EXISTING_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,CREST Semiconductor Accelerator,ACCELERATOR_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_830585abbcda943ddb7f,BATCH_CONFIRMATION,MEDIUM,19,Programme family — GENESIS,CONFIRM_EXISTING_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,3,GENESIS,PERMANENT_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_21fa26e029349f85d4c0,BATCH_CONFIRMATION,MEDIUM,14,Programme family — MathWorks Startup Program,CONFIRM_EXISTING_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,MathWorks Startup Program,ACCELERATOR_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_5cff784a4ae89905962c,BATCH_CONFIRMATION,MEDIUM,19,Programme family — SASACT,CONFIRM_EXISTING_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,2,SASACT,PERMANENT_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_3a121f4066809c963640,BATCH_CONFIRMATION,LOW,4,Programme family — XR Startup Program,CONFIRM_EXISTING_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,SAMRIDH,ACCELERATOR_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_efe851fe2236a1b3957a,BATCH_CONFIRMATION,LOW,4,Calls/challenges — CREST Semiconductor Accelerator — ACCELERATOR_COHORT,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,2,CREST Semiconductor Accelerator,ACCELERATOR_COHORT,True,True,False,False,False,NONE,NONE
meitybundle_25cfdc0d3bb00a1ff98f,BATCH_CONFIRMATION,LOW,0,Calls/challenges — SAMRIDH — ACCELERATOR_COHORT,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,2,SAMRIDH,ACCELERATOR_COHORT,True,True,False,False,False,NONE,NONE
meitybundle_cbb20819e0e8d53bb281,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — CHALLENGE_CALL,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,3,4,SAMRIDH,CHALLENGE_CALL,True,True,False,False,False,NONE,NONE
meitybundle_15b24282b311cf2d676a,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — GRAND_CHALLENGE,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,3,SAMRIDH,GRAND_CHALLENGE,True,True,False,False,False,NONE,NONE
meitybundle_4b1b886478e692555a3f,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — HACKATHON,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,2,4,SAMRIDH,HACKATHON,True,True,False,False,False,NONE,NONE
meitybundle_c3e0809d2cc6f8255260,BATCH_CONFIRMATION,LOW,4,Calls/challenges — XR Startup Program — CHALLENGE_CALL,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,2,XR Startup Program,CHALLENGE_CALL,True,True,False,False,False,NONE,NONE
meitybundle_309481c1ff310698dcfe,BATCH_CONFIRMATION,MEDIUM,15,Calls/challenges — inviting applications agrienics grand challenge — GRAND_CHALLENGE,CONFIRM_CALL_OR_CHALLENGE_GROUP,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,1,inviting applications agrienics grand challenge,GRAND_CHALLENGE,True,True,False,False,False,NONE,NONE
meitybundle_f96e74002f226b88bfca,BATCH_CONFIRMATION,HIGH,40,Historical evidence — GENESIS,CONFIRM_HISTORICAL_GROUP,Confirm historical/result classification. These records never expose an Apply action.,2,2,GENESIS,RESULT_ANNOUNCEMENT,True,True,False,False,False,NONE,NONE
meitybundle_85146a21f2e45072d8dc,BATCH_CONFIRMATION,MEDIUM,19,Historical evidence — SAMRIDH,CONFIRM_HISTORICAL_GROUP,Confirm historical/result classification. These records never expose an Apply action.,2,2,SAMRIDH,RESULT_ANNOUNCEMENT,True,True,False,False,False,NONE,NONE
meitybundle_7343829ad4f458172a33,DEEP_REVIEW,LOW,0,Programme family — SAMRIDH,REVIEW_NEW_PROGRAMME_FAMILY,Review a possible new permanent MeitY programme family. Approval remains separate from publication.,1,2,SAMRIDH,ACCELERATOR_PROGRAMME,False,True,True,False,False,NONE,NONE
meitybundle_34bb1d1257613c635ece,DEEP_REVIEW,LOW,0,Programme family — TIDE 2.0,REVIEW_NEW_PROGRAMME_FAMILY,Review a possible new permanent MeitY programme family. Approval remains separate from publication.,1,2,TIDE 2.0,INCUBATION_PROGRAMME,False,True,True,False,False,NONE,NONE
meitybundle_cd218483a181529020f2,DEEP_REVIEW,HIGH,39,Potential current call — Google Appscale Academy 2023,REVIEW_CURRENT_CALL,"Potential current or upcoming opportunity requires individual deadline, applicant-layer and Apply-route review.",1,4,GENESIS,ACCELERATOR_COHORT,False,True,True,False,False,NONE,NONE
